symbol,date,month,year,open,close,low,high,volume,return,daily_return,cum_return,sector
HDFCBANK,2024-05-22 05:30:00,2024-05,2024,1457.85,1459.2,1448.15,1465.6,19998139,0.0009260211955963484,0.00027419797093508613,0.9676071748284205,BANKING
HDFCBANK,2024-05-23 05:30:00,2024-05,2024,1458.65,1492.6,1457.05,1495.65,20430960,0.023274946011723044,0.022889254385964897,0.9897549815987531,BANKING
HDFCBANK,2024-05-24 05:30:00,2024-05,2024,1487.5,1517.2,1486.0,1519.9,15530103,0.01996638655462188,0.016481307785073174,1.0060674380822916,BANKING
HDFCBANK,2024-05-27 05:30:00,2024-05,2024,1523.35,1527.7,1519.05,1545.0,14692720,0.0028555486263827333,0.006920643290271533,1.0130300719472165,BANKING
HDFCBANK,2024-05-28 05:30:00,2024-05,2024,1530.1,1530.5,1524.8,1536.05,13954452,0.00026142082216854516,0.0018328205799567066,1.0148867743111964,BANKING
HDFCBANK,2024-05-29 05:30:00,2024-05,2024,1518.0,1508.3,1501.25,1523.85,17573853,-0.006389986824769463,-0.01450506370467175,1.0001657769967838,BANKING
HDFCBANK,2024-05-30 05:30:00,2024-05,2024,1499.2,1514.85,1497.65,1523.6,16877675,0.01043890074706501,0.004342637406351546,1.0045091343125228,BANKING
HDFCBANK,2024-05-31 05:30:00,2024-05,2024,1519.0,1531.55,1514.0,1536.0,37039794,0.00826201448321261,0.011024193814569205,1.015583037697689,BANKING
HDFCBANK,2024-06-03 05:30:00,2024-06,2024,1599.0,1572.2,1550.0,1599.0,36318628,-0.016760475297060633,0.026541738761385547,1.0425383773747556,BANKING
HDFCBANK,2024-06-04 05:30:00,2024-06,2024,1557.0,1483.15,1454.0,1559.0,44765620,-0.04743095696852916,-0.0566403765424246,0.9834886111203212,BANKING
HDFCBANK,2024-06-05 05:30:00,2024-06,2024,1494.05,1551.8,1482.35,1559.6,40815825,0.03865332485525919,0.04628661969456882,1.0290109744371871,BANKING
HDFCBANK,2024-06-06 05:30:00,2024-06,2024,1564.9,1559.7,1546.6,1565.45,23211435,-0.003322896031695345,0.005090862224513604,1.0342495275355594,BANKING
HDFCBANK,2024-06-07 05:30:00,2024-06,2024,1561.05,1573.35,1552.05,1584.35,18356108,0.007879312001537398,0.008751683015964629,1.0433009515599618,BANKING
HDFCBANK,2024-06-10 05:30:00,2024-06,2024,1574.0,1561.3,1557.6,1580.65,11227029,-0.008068614993646788,-0.0076588171735468835,1.0353105003149765,BANKING
HDFCBANK,2024-06-11 05:30:00,2024-06,2024,1556.0,1564.8,1552.2,1571.0,14772663,0.005655526992287888,0.0022417216422212505,1.0376313782699516,BANKING
HDFCBANK,2024-06-12 05:30:00,2024-06,2024,1575.0,1574.15,1566.4,1588.3,19640218,-0.000539682539682482,0.005975204498977593,1.0438314379496705,BANKING
HDFCBANK,2024-06-13 05:30:00,2024-06,2024,1581.75,1580.75,1574.0,1585.7,12060096,-0.000632211158526948,0.004192738938474605,1.048207950664766,BANKING
HDFCBANK,2024-06-14 05:30:00,2024-06,2024,1584.0,1596.9,1577.7,1599.0,12770277,0.008143939393939452,0.010216669302546277,1.0589171446570076,BANKING
HDFCBANK,2024-06-18 05:30:00,2024-06,2024,1596.9,1607.8,1589.45,1610.5,16207857,0.006825724841881059,0.006825724841881042,1.0661450217167867,BANKING
HDFCBANK,2024-06-19 05:30:00,2024-06,2024,1613.4,1657.85,1604.0,1669.9,45065598,0.027550514441551887,0.031129493718124124,1.0993335764729288,BANKING
HDFCBANK,2024-06-20 05:30:00,2024-06,2024,1669.8,1669.35,1652.0,1681.45,20704371,-0.0002694933524973323,0.006936695117169878,1.1069593183249895,BANKING
HDFCBANK,2024-06-21 05:30:00,2024-06,2024,1672.85,1665.75,1643.15,1672.85,25815388,-0.004244253818333927,-0.0021565279899361522,1.1045721295713011,BANKING
HDFCBANK,2024-06-24 05:30:00,2024-06,2024,1647.0,1672.4,1645.75,1675.1,14272497,0.015421979356405642,0.003992195707639201,1.1089817976857537,BANKING
HDFCBANK,2024-06-25 05:30:00,2024-06,2024,1671.1,1711.35,1671.1,1716.95,37260774,0.024085931422416374,0.023289882803157136,1.1348098537846893,BANKING
HDFCBANK,2024-06-26 05:30:00,2024-06,2024,1707.95,1701.5,1691.1,1710.9,23798333,-0.0037764571562399632,-0.005755689952376741,1.1282782401114027,BANKING
HDFCBANK,2024-06-27 05:30:00,2024-06,2024,1696.1,1696.15,1686.6,1713.0,27537325,2.9479393903768588e-05,-0.0031442844548926763,1.1247306123802268,BANKING
HDFCBANK,2024-06-28 05:30:00,2024-06,2024,1697.6,1683.8,1679.0,1706.6,13238023,-0.008129123468425987,-0.007281195648969785,1.1165412287391008,BANKING
HDFCBANK,2024-07-01 05:30:00,2024-07,2024,1680.0,1705.2,1680.0,1707.3,10593512,0.015000000000000027,0.012709347903551604,1.130731739663805,BANKING
